checked_at,icao,url,status,name,database_latitude,database_longitude,aip_latitude,aip_longitude,coordinate_delta_nm,database_elevation_ft,aip_elevation_ft,elevation_delta_ft,database_runway_m,aip_longest_runway_m,runway_delta_m,ppr,fuel,prices,opening_hours,frequencies,restaurant,error
2026-08-17,EBSP,https://aip.aero/be/vfr/?EBSP,ok,SPA / La Sauvenière EBSP,50.4825,5.910278,50.482006,5.913434,0.124,1542,1581,39,799,799,0,No,"AVGAS, Jet A-1",,,RDO 124.64,,
2026-08-17,EDAH,https://aip.aero/de/en/vfr/?EDAH,ok,Heringsdorf EDAH,53.8787,14.1523,53.8787,14.1523,0.000,94,94,0,2305,2305,0,No,"AVGAS, Jet A-1",AVGAS 100LL: 3.14 EUR/l; Jet A-1: 3.18 EUR/l,Mon/Tue/Wed/Thu/Fri/Sat/Sun 07:00–17:00 UTC,AFIS 132.65 · INFO 132.83 · TWR 132.83,Yes,
2026-08-17,EDAX,https://aip.aero/de/en/vfr/?EDAX,ok,Mueritz Airpark EDAX,53.305167,12.752167,53.306389,12.752222,0.073,220,220,0,2380,2380,0,No,AVGAS,,,FIS 132.65 · RADIO 118.99,Yes,
2026-08-17,EDAY,https://aip.aero/de/en/vfr/?EDAY,ok,Strausberg EDAY,52.5802,13.915,52.580555,13.916667,0.064,263,262,-1,1200,1200,0,,,AVGAS 100LL: 3.14 EUR/l; Jet A-1: 3.18 EUR/l; MOGAS (car petrol): 2.62 EUR/l,Mon/Tue/Wed/Thu/Fri 06:30–18:00 UTC; Sat/Sun 07:00–18:00 UTC,AFIS 132.65 · FIS 118.735,Yes,
2026-08-17,EDAZ,https://aip.aero/de/en/vfr/?EDAZ,ok,Schoenhagen EDAZ,52.2038,13.16,52.204631,13.159526,0.053,135,152,17,1510,1510,0,No,"Super PLUS, AVGAS, Jet A-1",AVGAS 100LL: 3.14 EUR/l; Jet A-1: 3.18 EUR/l; MOGAS (car petrol): 2.81 EUR/l,Mon/Tue/Wed/Thu/Fri/Sat/Sun H24,AFIS 131.155 · ATIS 119.49 · FIS 132.65,Yes,
2026-08-17,EDBN,https://aip.aero/de/en/vfr/?EDBN,ok,Neubrandenburg EDBN,53.6022,13.306,53.6022,13.306,0.000,228,228,0,2290,2293,3,No,"AVGAS, Jet A-1",,Mon/Tue/Wed/Thu/Fri/Sat/Sun 08:00–18:00 UTC,ACC 126.175 · AFIS 132.65 · FIS 119.18 · INFO 122.05 · RMP 122.05,Yes,
2026-08-17,EDCG,https://aip.aero/de/en/vfr/?EDCG,ok,Ruegen EDCG,54.3833,13.3256,54.38347,13.325542,0.010,69,69,0,900,900,0,No,"AVGAS, Jet A-1",,,AFIS 132.65 · INFO 123.005,Yes,
2026-08-17,EDFE,https://aip.aero/de/en/vfr/?EDFE,ok,Frankfurt-Egelsbach EDFE,49.960833,8.6415,49.96,8.643043,0.078,385,384,-1,1400,1400,0,No,"AVGAS, Jet A-1, AVGAS UL91",AVGAS 100LL: 3.24 EUR/l; Jet A-1: 3.03 EUR/l; AVGAS UL91: 3.12 EUR/l,,AFIS 119.15 · INFO 118.405 · RMP 121.73,Yes,
2026-08-17,EDFM,https://aip.aero/de/en/vfr/?EDFM,ok,Mannheim City EDFM,49.4727,8.5143,49.473057,8.514167,0.022,309,308,-1,1066,1066,0,No,"Super PLUS, AVGAS, Jet A-1",AVGAS 100LL: 2.95 EUR/l; Jet A-1: 2.70 EUR/l; MOGAS (car petrol): 2.40 EUR/l,Mon/Tue/Wed/Thu/Fri 05:00–20:00 UTC; Sat/Sun 07:00–19:00 UTC,ATIS 132.415 · INFO 129.78 · TWR 129.78,Yes,
2026-08-17,EDFR,https://aip.aero/de/en/vfr/?EDFR,ok,Rothenburg o.d.T. EDFR,49.3928,10.1953,49.388941,10.218564,0.938,1309,1309,0,950,950,0,No,"AVGAS, Jet A-1",AVGAS 100LL: 3.14 EUR/l; Jet A-1: 3.18 EUR/l,,AFIS 119.15 · INFO 128.36,Yes,
