schema_version,feature_id,airport_id,feature_type,status_raw,feature_name,access_mode,access_minutes,latitude_wgs84,longitude_wgs84,distance_km,walk_minutes,bicycle_minutes,car_minutes,recommended_mode,recommended_minutes,verified_target_name,source,data_checked_at
1.2,EBSP:techstop,EBSP,techstop,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EBSP:breakfast,EBSP,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EBSP:city,EBSP,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EBSP:beach,EBSP,beach,Nein,,,,,,,,,,,,,https://www.visitspa-hautesfagnes.be/en/,2026-08-03
1.2,EBSP:lake,EBSP,lake,Ja,Lac de Warfaaz,Taxi/Fahrrad,10,,,5,,,,Taxi/Fahrrad,10,Lac de Warfaaz,https://www.visitspa-hautesfagnes.be/en/,2026-08-03
1.2,EBSP:mountain,EBSP,mountain,Ja,Hohes Venn / Ardennen-Wanderwege,Taxi/Auto,20,,,18,,,,Taxi/Auto,20,Hohes Venn / Ardennen-Wanderwege,https://www.visitspa-hautesfagnes.be/en/,2026-08-03
1.2,EBSP:wellness,EBSP,wellness,Ja,Thermes de Spa,Taxi,10,,,4,,,,Taxi,10,Thermes de Spa,https://thermesdespa.com/,2026-08-03
1.2,EDAH:techstop,EDAH,techstop,Nein,,,,,,,,,,,,,,2026-08-02
1.2,EDAH:breakfast,EDAH,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDAH:city,EDAH,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDAH:beach,EDAH,beach,Ja,Strandpromenade Heringsdorf,E-Roller,34,53.961999,14.160416,9.28,145,52,14,E-Roller,34,Strandpromenade Heringsdorf,https://usedom.de/,2026-08-13
1.2,EDAH:lake,EDAH,lake,Nein,,,,,,,,,,,,,https://usedom.de/,2026-08-02
1.2,EDAH:mountain,EDAH,mountain,Nein,,,,,,,,,,,,,https://usedom.de/,2026-08-02
1.2,EDAH:wellness,EDAH,wellness,Ja,"OstseeTherme Usedom, Ahlbeck",Fahrrad,40,53.945662,14.178142,7.64,119,40,12,Fahrrad,40,"OstseeTherme Usedom, Ahlbeck",https://usedom.de/,2026-08-02
1.2,EDAY:techstop,EDAY,techstop,Ja,Gute redundante Ost-Station mit Mindestversorgung.,,,,,,,,,,,Berlin-Ost-Knoten und Alternative zu Schönhagen,https://www.flugplatz-strausberg.de/flugplatz-informationen-ppr/,2026-08-03
1.2,EDAY:breakfast,EDAY,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDAY:city,EDAY,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDAY:beach,EDAY,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDAY:lake,EDAY,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDAY:mountain,EDAY,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDAY:wellness,EDAY,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDAZ:techstop,EDAZ,techstop,Ja,Nahezu idealer professioneller Technikstopp.,,,,,,,,,,,Professioneller Berlin-/Ostdeutschland-Knoten,https://www.flugplatz-schoenhagen.aero/piloten/verkehrslandeplatz/flugplatzdaten,2026-08-03
1.2,EDAZ:breakfast,EDAZ,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDAZ:city,EDAZ,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDAZ:beach,EDAZ,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDAZ:lake,EDAZ,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDAZ:mountain,EDAZ,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDAZ:wellness,EDAZ,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDBN:techstop,EDBN,techstop,Ja,Sehr wichtiger Nordost-Netzknoten.,,,,,,,,,,,"Nordost-Knoten für Mecklenburg-Vorpommern, Ostsee und Polen",https://www.flughafen-neubrandenburg.de/index.php?Itemid=104&id=7&option=com_content&view=article,2026-08-03
1.2,EDBN:breakfast,EDBN,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDBN:city,EDBN,city,Nein,,,,,,,,,,,,,,2026-08-04
