icao,destination,candidate,file,status,bytes,width,height,manual_choice,manual_notes
EDHL,Lübeck / Travemünde,1,ImageProduction/Candidates/EDHL/EDHL_01.webp,missing,0,not_checked,not_checked,,
EDHL,Lübeck / Travemünde,2,ImageProduction/Candidates/EDHL/EDHL_02.webp,missing,0,not_checked,not_checked,,
EDHL,Lübeck / Travemünde,3,ImageProduction/Candidates/EDHL/EDHL_03.webp,missing,0,not_checked,not_checked,,
EHTX,Texel,1,ImageProduction/Candidates/EHTX/EHTX_01.webp,missing,0,not_checked,not_checked,,
EHTX,Texel,2,ImageProduction/Candidates/EHTX/EHTX_02.webp,missing,0,not_checked,not_checked,,
EHTX,Texel,3,ImageProduction/Candidates/EHTX/EHTX_03.webp,missing,0,not_checked,not_checked,,
EDDV,Hannover,1,ImageProduction/Candidates/EDDV/EDDV_01.webp,missing,0,not_checked,not_checked,,
EDDV,Hannover,2,ImageProduction/Candidates/EDDV/EDDV_02.webp,missing,0,not_checked,not_checked,,
EDDV,Hannover,3,ImageProduction/Candidates/EDDV/EDDV_03.webp,missing,0,not_checked,not_checked,,
EHMZ,Midden-Zeeland / Veerse Meer,1,ImageProduction/Candidates/EHMZ/EHMZ_01.webp,missing,0,not_checked,not_checked,,
EHMZ,Midden-Zeeland / Veerse Meer,2,ImageProduction/Candidates/EHMZ/EHMZ_02.webp,missing,0,not_checked,not_checked,,
EHMZ,Midden-Zeeland / Veerse Meer,3,ImageProduction/Candidates/EHMZ/EHMZ_03.webp,missing,0,not_checked,not_checked,,
EDGE,Eisenach / Wartburg,1,ImageProduction/Candidates/EDGE/EDGE_01.webp,missing,0,not_checked,not_checked,,
EDGE,Eisenach / Wartburg,2,ImageProduction/Candidates/EDGE/EDGE_02.webp,missing,0,not_checked,not_checked,,
EDGE,Eisenach / Wartburg,3,ImageProduction/Candidates/EDGE/EDGE_03.webp,missing,0,not_checked,not_checked,,
EDKA,Aachen,1,ImageProduction/Candidates/EDKA/EDKA_01.webp,missing,0,not_checked,not_checked,,
EDKA,Aachen,2,ImageProduction/Candidates/EDKA/EDKA_02.webp,missing,0,not_checked,not_checked,,
EDKA,Aachen,3,ImageProduction/Candidates/EDKA/EDKA_03.webp,missing,0,not_checked,not_checked,,
EKVJ,Hvide Sande / Ringkøbing,1,ImageProduction/Candidates/EKVJ/EKVJ_01.webp,missing,0,not_checked,not_checked,,
EKVJ,Hvide Sande / Ringkøbing,2,ImageProduction/Candidates/EKVJ/EKVJ_02.webp,missing,0,not_checked,not_checked,,
EKVJ,Hvide Sande / Ringkøbing,3,ImageProduction/Candidates/EKVJ/EKVJ_03.webp,missing,0,not_checked,not_checked,,
EKSS,Samsø,1,ImageProduction/Candidates/EKSS/EKSS_01.webp,missing,0,not_checked,not_checked,,
EKSS,Samsø,2,ImageProduction/Candidates/EKSS/EKSS_02.webp,missing,0,not_checked,not_checked,,
EKSS,Samsø,3,ImageProduction/Candidates/EKSS/EKSS_03.webp,missing,0,not_checked,not_checked,,
EKRN,Bornholm,1,ImageProduction/Candidates/EKRN/EKRN_01.webp,missing,0,not_checked,not_checked,,
EKRN,Bornholm,2,ImageProduction/Candidates/EKRN/EKRN_02.webp,missing,0,not_checked,not_checked,,
EKRN,Bornholm,3,ImageProduction/Candidates/EKRN/EKRN_03.webp,missing,0,not_checked,not_checked,,
EKSB,Sønderborg / Als,1,ImageProduction/Candidates/EKSB/EKSB_01.webp,missing,0,not_checked,not_checked,,
EKSB,Sønderborg / Als,2,ImageProduction/Candidates/EKSB/EKSB_02.webp,missing,0,not_checked,not_checked,,
EKSB,Sønderborg / Als,3,ImageProduction/Candidates/EKSB/EKSB_03.webp,missing,0,not_checked,not_checked,,
EKAE,Ærø,1,ImageProduction/Candidates/EKAE/EKAE_01.webp,missing,0,not_checked,not_checked,,
EKAE,Ærø,2,ImageProduction/Candidates/EKAE/EKAE_02.webp,missing,0,not_checked,not_checked,,
EKAE,Ærø,3,ImageProduction/Candidates/EKAE/EKAE_03.webp,missing,0,not_checked,not_checked,,
EDWL,Langeoog,1,ImageProduction/Candidates/EDWL/EDWL_01.webp,missing,0,not_checked,not_checked,,
EDWL,Langeoog,2,ImageProduction/Candidates/EDWL/EDWL_02.webp,missing,0,not_checked,not_checked,,
EDWL,Langeoog,3,ImageProduction/Candidates/EDWL/EDWL_03.webp,missing,0,not_checked,not_checked,,
EHAL,Ameland,1,ImageProduction/Candidates/EHAL/EHAL_01.webp,missing,0,not_checked,not_checked,,
EHAL,Ameland,2,ImageProduction/Candidates/EHAL/EHAL_02.webp,missing,0,not_checked,not_checked,,
EHAL,Ameland,3,ImageProduction/Candidates/EHAL/EHAL_03.webp,missing,0,not_checked,not_checked,,
LKKV,Karlovy Vary,1,ImageProduction/Candidates/LKKV/LKKV_01.webp,missing,0,not_checked,not_checked,,
LKKV,Karlovy Vary,2,ImageProduction/Candidates/LKKV/LKKV_02.webp,missing,0,not_checked,not_checked,,
LKKV,Karlovy Vary,3,ImageProduction/Candidates/LKKV/LKKV_03.webp,missing,0,not_checked,not_checked,,
LKCS,Třeboň / Český Krumlov,1,ImageProduction/Candidates/LKCS/LKCS_01.webp,missing,0,not_checked,not_checked,,
LKCS,Třeboň / Český Krumlov,2,ImageProduction/Candidates/LKCS/LKCS_02.webp,missing,0,not_checked,not_checked,,
LKCS,Třeboň / Český Krumlov,3,ImageProduction/Candidates/LKCS/LKCS_03.webp,missing,0,not_checked,not_checked,,
LFRF,Granville,1,ImageProduction/Candidates/LFRF/LFRF_01.webp,missing,0,not_checked,not_checked,,
LFRF,Granville,2,ImageProduction/Candidates/LFRF/LFRF_02.webp,missing,0,not_checked,not_checked,,
LFRF,Granville,3,ImageProduction/Candidates/LFRF/LFRF_03.webp,missing,0,not_checked,not_checked,,
LFGA,Colmar / Weinorte,1,ImageProduction/Candidates/LFGA/LFGA_01.webp,missing,0,not_checked,not_checked,,
LFGA,Colmar / Weinorte,2,ImageProduction/Candidates/LFGA/LFGA_02.webp,missing,0,not_checked,not_checked,,
LFGA,Colmar / Weinorte,3,ImageProduction/Candidates/LFGA/LFGA_03.webp,missing,0,not_checked,not_checked,,
LOWS,Salzburg / Gastein,1,ImageProduction/Candidates/LOWS/LOWS_01.webp,missing,0,not_checked,not_checked,,
LOWS,Salzburg / Gastein,2,ImageProduction/Candidates/LOWS/LOWS_02.webp,missing,0,not_checked,not_checked,,
LOWS,Salzburg / Gastein,3,ImageProduction/Candidates/LOWS/LOWS_03.webp,missing,0,not_checked,not_checked,,
LOIJ,St. Johann in Tirol,1,ImageProduction/Candidates/LOIJ/LOIJ_01.webp,missing,0,not_checked,not_checked,,
LOIJ,St. Johann in Tirol,2,ImageProduction/Candidates/LOIJ/LOIJ_02.webp,missing,0,not_checked,not_checked,,
LOIJ,St. Johann in Tirol,3,ImageProduction/Candidates/LOIJ/LOIJ_03.webp,missing,0,not_checked,not_checked,,
LSZR,Appenzell / Säntis / Bad Ragaz,1,ImageProduction/Candidates/LSZR/LSZR_01.webp,missing,0,not_checked,not_checked,,
LSZR,Appenzell / Säntis / Bad Ragaz,2,ImageProduction/Candidates/LSZR/LSZR_02.webp,missing,0,not_checked,not_checked,,
LSZR,Appenzell / Säntis / Bad Ragaz,3,ImageProduction/Candidates/LSZR/LSZR_03.webp,missing,0,not_checked,not_checked,,
LOIH,Hohenems / Bregenzerwald,1,ImageProduction/Candidates/LOIH/LOIH_01.webp,missing,0,not_checked,not_checked,,
LOIH,Hohenems / Bregenzerwald,2,ImageProduction/Candidates/LOIH/LOIH_02.webp,missing,0,not_checked,not_checked,,
LOIH,Hohenems / Bregenzerwald,3,ImageProduction/Candidates/LOIH/LOIH_03.webp,missing,0,not_checked,not_checked,,
LOWZ,Zell am See,1,ImageProduction/Candidates/LOWZ/LOWZ_01.webp,missing,0,not_checked,not_checked,,
LOWZ,Zell am See,2,ImageProduction/Candidates/LOWZ/LOWZ_02.webp,missing,0,not_checked,not_checked,,
LOWZ,Zell am See,3,ImageProduction/Candidates/LOWZ/LOWZ_03.webp,missing,0,not_checked,not_checked,,
LOWI,Innsbruck,1,ImageProduction/Candidates/LOWI/LOWI_01.webp,missing,0,not_checked,not_checked,,
LOWI,Innsbruck,2,ImageProduction/Candidates/LOWI/LOWI_02.webp,missing,0,not_checked,not_checked,,
LOWI,Innsbruck,3,ImageProduction/Candidates/LOWI/LOWI_03.webp,missing,0,not_checked,not_checked,,
LJMB,Maribor / Pohorje,1,ImageProduction/Candidates/LJMB/LJMB_01.webp,missing,0,not_checked,not_checked,,
LJMB,Maribor / Pohorje,2,ImageProduction/Candidates/LJMB/LJMB_02.webp,missing,0,not_checked,not_checked,,
LJMB,Maribor / Pohorje,3,ImageProduction/Candidates/LJMB/LJMB_03.webp,missing,0,not_checked,not_checked,,
LIPB,Bozen / Meran / Ritten,1,ImageProduction/Candidates/LIPB/LIPB_01.webp,missing,0,not_checked,not_checked,,
LIPB,Bozen / Meran / Ritten,2,ImageProduction/Candidates/LIPB/LIPB_02.webp,missing,0,not_checked,not_checked,,
LIPB,Bozen / Meran / Ritten,3,ImageProduction/Candidates/LIPB/LIPB_03.webp,missing,0,not_checked,not_checked,,
LJBL,Bled / Radovljica,1,ImageProduction/Candidates/LJBL/LJBL_01.webp,missing,0,not_checked,not_checked,,
LJBL,Bled / Radovljica,2,ImageProduction/Candidates/LJBL/LJBL_02.webp,missing,0,not_checked,not_checked,,
LJBL,Bled / Radovljica,3,ImageProduction/Candidates/LJBL/LJBL_03.webp,missing,0,not_checked,not_checked,,
LSGS,Sion / Leukerbad,1,ImageProduction/Candidates/LSGS/LSGS_01.webp,missing,0,not_checked,not_checked,,
LSGS,Sion / Leukerbad,2,ImageProduction/Candidates/LSGS/LSGS_02.webp,missing,0,not_checked,not_checked,,
LSGS,Sion / Leukerbad,3,ImageProduction/Candidates/LSGS/LSGS_03.webp,missing,0,not_checked,not_checked,,
LSZL,Locarno,1,ImageProduction/Candidates/LSZL/LSZL_01.webp,missing,0,not_checked,not_checked,,
LSZL,Locarno,2,ImageProduction/Candidates/LSZL/LSZL_02.webp,missing,0,not_checked,not_checked,,
LSZL,Locarno,3,ImageProduction/Candidates/LSZL/LSZL_03.webp,missing,0,not_checked,not_checked,,
LIDT,Trento / Levico,1,ImageProduction/Candidates/LIDT/LIDT_01.webp,missing,0,not_checked,not_checked,,
LIDT,Trento / Levico,2,ImageProduction/Candidates/LIDT/LIDT_02.webp,missing,0,not_checked,not_checked,,
LIDT,Trento / Levico,3,ImageProduction/Candidates/LIDT/LIDT_03.webp,missing,0,not_checked,not_checked,,
LSZA,Lugano,1,ImageProduction/Candidates/LSZA/LSZA_01.webp,missing,0,not_checked,not_checked,,
LSZA,Lugano,2,ImageProduction/Candidates/LSZA/LSZA_02.webp,missing,0,not_checked,not_checked,,
LSZA,Lugano,3,ImageProduction/Candidates/LSZA/LSZA_03.webp,missing,0,not_checked,not_checked,,
LFLP,Duingt / Lac d’Annecy,1,ImageProduction/Candidates/LFLP/LFLP_01.webp,missing,0,not_checked,not_checked,,
