icao,destination,candidate,approved,notes
EDHL,Lübeck / Travemünde,1,no,
EHTX,Texel,1,no,
EDDV,Hannover,1,no,
EHMZ,Midden-Zeeland / Veerse Meer,1,no,
EDGE,Eisenach / Wartburg,1,no,
EDKA,Aachen,1,no,
EKVJ,Hvide Sande / Ringkøbing,1,no,
EKSS,Samsø,1,no,
EKRN,Bornholm,1,no,
EKSB,Sønderborg / Als,1,no,
EKAE,Ærø,1,no,
EDWL,Langeoog,1,no,
EHAL,Ameland,1,no,
LKKV,Karlovy Vary,1,no,
LKCS,Třeboň / Český Krumlov,1,no,
LFRF,Granville,1,no,
LFGA,Colmar / Weinorte,1,no,
LOWS,Salzburg / Gastein,1,no,
LOIJ,St. Johann in Tirol,1,no,
LSZR,Appenzell / Säntis / Bad Ragaz,1,no,
LOIH,Hohenems / Bregenzerwald,1,no,
LOWZ,Zell am See,1,no,
LOWI,Innsbruck,1,no,
LJMB,Maribor / Pohorje,1,no,
LIPB,Bozen / Meran / Ritten,1,no,
LJBL,Bled / Radovljica,1,no,
LSGS,Sion / Leukerbad,1,no,
LSZL,Locarno,1,no,
LIDT,Trento / Levico,1,no,
LSZA,Lugano,1,no,
LFLP,Duingt / Lac d’Annecy,1,no,
LIMW,Aosta / Pila,1,no,
LJPZ,Izola / Piran,1,no,
LDRI,Krk / Vrbnik / Šilo,1,no,
LDLO,Mali Lošinj,1,no,
