Land,Wetterregion,Ziel,ICAO,Weekend Score,Saison,Airport-Filter,NM direkt,Runway m,Belag,AVGAS,UL91,MOGAS,PPR,Transfer,Transfer min,Bike direkt,Nonstop,ETOPS NS,je Leg,ETOPS Leg,Gesamt 1 Stopp,ETA,Return EOBT,Highlights,Aktivitäten,Airport-Hinweis,Status,Quelle Airport,Quelle Tourismus
DE,Nordsee/Ostsee,Lübeck / Travemünde,EDHL,★★★★☆,Ganzjährig,passt mit Gebührenvorbehalt,249,2102,Asphalt,prüfen,prüfen,Nein,außerhalb Zeiten,Bus / Taxi / Mietwagen,20,Nein,2:43,ROT,1:32,DUNKELGRÜN,4:03,13:33,12:57,Lübecker Altstadt · Holstentor · Travemünde · Ostsee · Hafen,Altstadt · Wasser · Strand · Rad · Schifffahrt,"Professioneller Regionalairport; Öffnungszeiten, GA-Entgelte und Kraftstoff vor Abflug prüfen.",verifiziert,https://www.flughafen-luebeck.de/de/technische-infos,https://www.luebeck-tourismus.de/
DE,Nordsee/Ostsee,Helgoland / Düne,EDXH,★★★★★,Frühling–Herbst,mit besonderem Vorbehalt,253,480,Asphalt,Nein,Nein,Nein,Einweisung und Betriebsstatus prüfen,Fähre zur Hauptinsel,10,Nein,2:46,ROT,1:33,GRÜN,4:06,13:36,12:54,Lange Anna · Düne · Seehunde · Hochseeinsel · Klippen,Insel · Tiere · Wandern · Wasser,"Sehr kurze Bahnen und häufig anspruchsvoller Wind; aktuelle Einweisungs-, Flugplan- und Betriebsanforderungen zwingend vor Abflug prüfen.",verifiziert,https://www.edxh.de/,https://www.helgoland.de/
IT,Adria/Venetien,Venedig / Lido,LIPV,★★★★★,Frühling–Herbst,mit Vorbehalt,322,994,Gras,Ja,Nein,Nein,außerhalb Zeiten PPR,Wasserbus / Taxi / Bus,20,Nein,3:26,ROT,1:53,GELB,4:46,14:16,12:14,Venedig · Markusplatz · Lido · Lagune · Biennale,Kultur · Wasser · Spaziergang · Rad,"VFR-GA-Flugplatz auf dem Lido; Betriebszeiten, Grasbahnzustand, Feuerlöschdienst und PPR vorab bestätigen.",verifiziert,https://www.aeroportonicelli.com/,https://www.veneziaunica.it/
NL,Nordsee/Ostsee,Texel,EHTX,★★★★★,Sommer/Herbst,passt,226,1200,TerraGrid/Gras,Ja,Nein,Ja,außerhalb Zeiten,Fahrrad/Auto direkt,0,Ja,2:30,ORANGE,1:25,GRÜN,3:49,13:19,13:11,Dünen · Nationalpark · Strandpavillons · Seehunde · Radwege,Rad · Strand · Tiere · Wandern,1.200-m-TerraGrid-Hauptbahn; AVGAS/MOGAS und Fahrräder aktuell bestätigt.,teilweise verifiziert,https://texelairport.nl/,https://www.texel.net/en/
DE,Norddeutschland,Hannover,EDDV,★★★☆☆,Ganzjährig,mit Gebührenvorbehalt,161,3800,Beton/Asphalt,Ja,Ja,Nein,GAT außerhalb Zeiten,S-Bahn / Taxi,25,Nein,1:51,DUNKELGRÜN,1:05,GRÜN,3:10,12:40,13:50,Herrenhäuser Gärten · Maschsee · Altstadt · Eilenriede,Stadt · Rad · See · Spaziergang,"Internationaler Verkehrsflughafen mit GAT; zuverlässig, aber Gebühren und Handling können für leichte GA unattraktiv sein.",verifiziert,https://www.hannover-airport.de/general-aviation/haj-general-aviation-terminal/,https://www.visit-hannover.com/
NL,Nordsee/Ostsee,Midden-Zeeland / Veerse Meer,EHMZ,★★★★☆,Sommer/Herbst,passt,192,1000,verhärtete Bahn; Belag prüfen,Ja,Nein,Ja,Nein,Fahrrad/Mietwagen direkt,0,Ja,2:09,GELB,1:14,GRÜN,3:29,12:59,13:31,Veerse Meer · kleine Häfen · Zeeland · Muscheln · Deiche,Rad · SUP · Boot · Wasser,AVGAS/MOGAS und Fahrräder offiziell bestätigt; genauen aktuellen Bahnbelag vor Flug prüfen.,verifiziert,https://www.vliegveldzeeland.nl/,https://www.zeeland.com/en/visit
DE,Thüringen,Eisenach / Wartburg,EDGE,★★★★☆,Ganzjährig,passt,108,1720,Beton,prüfen,prüfen,prüfen,außerhalb Zeiten,Mietwagen / Taxi,20,Nein,1:19,GRÜN,0:49,GRÜN,2:39,12:09,14:21,Wartburg · Eisenach · Drachenschlucht · Hainich · Thüringer Wald,Wandern · Natur · Kultur · Rad,Große Betonbahn und gute Autobahnanbindung; Betriebszeiten und Kraftstoffverfügbarkeit vorher bestätigen.,verifiziert,https://www.flugplatz-eisenach.de/flugbetrieb/,https://www.eisenach.info/
DE,Westdeutschland,Aachen,EDKA,★★★★☆,Ganzjährig,passt,91,1160,Asphalt,prüfen,prüfen,prüfen,prüfen,Taxi / Mietwagen,20,Nein,1:09,GRÜN,0:44,GRÜN,2:28,11:58,14:32,Aachener Dom · Altstadt · Carolus Thermen · Dreiländereck,Altstadt · Wellness · Wandern · Rad,"Moderner Forschungsflugplatz mit befestigter Bahn; Betriebszeiten, PPR und Kraftstoff vor Abflug prüfen.",teilweise verifiziert,https://www.forschungsflugplatz.de/,https://www.aachen-tourismus.de/
DK,Nordsee/Ostsee,Hvide Sande / Ringkøbing,EKVJ,★★★★☆,Sommer/Herbst,passt,362,1450,Asphalt,Ja,Nein,Nein,prüfen,Mietwagen/Taxi,35,Ja,3:51,ROT,2:05,GELB,5:11,14:41,11:49,Fischerhafen · Nordsee · Ringkøbing Fjord · Fischbuden · Dünen,Wasser · SUP · Kajak · Rad · Strand,"GA-tauglich; Fahrradangebot am Platz laut Betreiber, Verfügbarkeit reservieren.",teilweise verifiziert,https://www.ekvj.dk/,https://www.visitvesterhavet.com/
DK,Nordsee/Ostsee,Samsø,EKSS,★★★★☆,Sommer,passt,367,695,Gras,Nein,Nein,Nein,PPR,Taxi / Fahrrad vorbestellen,15,Ja,3:54,ROT,2:07,GELB,5:14,14:44,11:46,Ballen · Nordby · Stavns Fjord · Hofläden · Strände,Rad · Strand · Wandern · Hafen,"Graspiste; Fahrradangebot saisonal, Pisten- und Windstatus klären.",verifiziert,https://www.samsoflyveklub.dk/,https://www.visitsamsoe.dk/en/
