schema_version,airport_id,icao,airport_name,country_code,timezone_identifier,latitude_wgs84,longitude_wgs84,elevation_ft,distance_edfz_nm,reference_runway,runway_length_m,runway_width_m,runway_surface,grass_only_raw,runway_lda_m,airport_filter,ppr_status,ppr_ga_access,operating_notes,transfer_default,transfer_minutes,airport_note,verification_status,runway_confidence,data_conflict,runway_review_status,runway_review_note,infrastructure_note,source_airport,source_runway,source_coordinates,source_ppr,data_checked_at
1.2,EBSP,EBSP,Spa–La Sauvenière,BE,Europe/Brussels,50.4825,5.910278,1542,91,05/23,799,30,Asphalt,Nein,799,Passt mit PPR/Windlimit,PPR,PPR vor Anflug über Betreiberformular,25.12. und 01.01. geschlossen.,Taxi,10,Platzrunden RWY 05 rechts / RWY 23 links; keine Jets; Nivezé nicht unter 4000 ft AMSL überfliegen; Unterlegkeile am Abstellplatz Pflicht. Grenzflug: Flugplan und aktuelle belgische Verfahren prüfen.,redaktionell geprüft,hoch,"Asymmetrische Bahnnutzung: 799 m auf RWY 05, 716 m auf RWY 23",bestätigt,Betreiberangabe 05: 799 x 30 m; 23: 716 x 30 m.,AVGAS 100LL; Restaurant Le Sunset direkt am Platz.,https://www.aerodromedespa.be/infos-pilote/,https://www.aerodromedespa.be/infos-pilote/,https://www.aerodromedespa.be/infos-pilote/,https://www.aerodromedespa.be/infos-pilote/,2026-08-03
1.2,EDAH,EDAH,Heringsdorf / Usedom,DE,Europe/Berlin,53.8787,14.1523,94,324,10/28,2305,35,Asphalt,Nein,2305,aktiv – Qualitätsliste,Nein,offen,,Mietwagen direkt,,Aktuelle AIP/NOTAM und Betreiberinformation vor jedem Flug prüfen.,teilweise verifiziert,mittel,,bestätigt,2305 x 35 m Asphalt bestätigt. Zusätzlich Graspiste 600 x 30 m.,"Mietwagen am Platz, aber nur nach Voranmeldung.",https://www.flughafen-heringsdorf.de/,https://raw.githubusercontent.com/davidmegginson/ourairports-data/main/runways.csv,"ARP, redaktionell erfasst – vor Publikation gegen AIP prüfen",https://www.stic.de/broschuere-flugplatz/index.html,2026-08-02
1.2,EDAY,EDAY,Strausberg,DE,Europe/Berlin,52.5802,13.915,263,267,05/23,1200,28,Beton,Nein,1200,TechStop,PPR außerhalb Betriebszeiten,PPR außerhalb Betriebszeiten,,,,Gute redundante Ost-Station mit Mindestversorgung. | Berlin-Luftraum und Mischbetrieb,TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS | Super Plus laut Betreiberangebot prüfen | Doppeldecker / Snackautomat,https://www.flugplatz-strausberg.de/flugplatz-informationen-ppr/,https://www.flugplatz-strausberg.de/flugplatz-informationen-ppr/,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://www.flugplatz-strausberg.de/flugplatz-informationen-ppr/,2026-08-03
1.2,EDAZ,EDAZ,Schönhagen,DE,Europe/Berlin,52.2038,13.16,135,232,07/25,1510,23,Asphalt,Nein,1510,TechStop,Prüfen,Prüfen,,,,"Nahezu idealer professioneller Technikstopp. | Größerer, kontrollierterer Betrieb als Clubplatz; Verfahren beachten",TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS 100LL | Ja – Super Plus Aviation | Restaurant Cockpit,https://www.flugplatz-schoenhagen.aero/piloten/verkehrslandeplatz/flugplatzdaten,https://www.flugplatz-schoenhagen.aero/piloten/verkehrslandeplatz/flugplatzdaten,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://www.flugplatz-schoenhagen.aero/piloten/verkehrslandeplatz/flugplatzdaten,2026-08-03
1.2,EDBN,EDBN,Neubrandenburg-Trollenhagen,DE,Europe/Berlin,53.6022,13.306,228,290,09/27,2290,45,Beton/Asphalt,Nein,2290,TechStop,PPR,PPR,,,,Sehr wichtiger Nordost-Netzknoten. | Geringere Dichte an Alternativen im Nordosten; Öffnung vorab sichern,TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS 100LL | Nicht bestätigt | Fly Inn,https://www.flughafen-neubrandenburg.de/index.php?Itemid=104&id=7&option=com_content&view=article,https://www.flughafen-neubrandenburg.de/index.php?Itemid=104&id=7&option=com_content&view=article,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://www.flughafen-neubrandenburg.de/index.php?Itemid=104&id=7&option=com_content&view=article,2026-08-03
1.2,EDCG,EDCG,Rügen,DE,Europe/Berlin,54.3833,13.3256,69,327,09/27,900,18,Asphalt,Nein,900,aktiv – Qualitätsliste,PPR außerhalb Betriebszeiten,offen,,Fahrrad direkt,,Aktuelle Anbieter- und Fahrzeugverfügbarkeit vorab bestätigen.,teilweise verifiziert,mittel,,bestätigt,900 m Asphalt bestätigt.,Fahrrad und Mietwagen am Platz bestätigt (2 Quellen).,https://www.flugplatz-ruegen.de/,https://raw.githubusercontent.com/davidmegginson/ourairports-data/main/runways.csv,"ARP, redaktionell erfasst – vor Publikation gegen AIP prüfen",https://ostseeflugruegen.de/flugplatz-ruegen/,2026-08-02
1.2,EDFM,EDFM,Mannheim City,DE,Europe/Berlin,49.4727,8.5143,309,33,09/27,1066,25,Asphalt,Nein,1066,TechStop,Prüfen,Prüfen,,,,"Sehr verlässlicher Kraftstoffstopp, nicht der billigste. | Luftraumkomplexität und Gebühren höher als an kleinen Plätzen",TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS | Ja – MOGAS | Caffè Chicco d’Oro,https://www.flugplatz-mannheim.de/privatpiloten/,https://www.flugplatz-mannheim.de/privatpiloten/,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://www.flugplatz-mannheim.de/privatpiloten/,2026-08-03
1.2,EDFR,EDFR,Rothenburg ob der Tauber,DE,Europe/Berlin,49.3928,10.1953,1309,87,03/21,950,20,Asphalt,Nein,950,aktiv – Qualitätsliste,PPR saisonal,PPR,Montag regelmäßig geschlossen; Dezember bis Februar PPR.,Fahrrad direkt,,"Fallschirmsprungbetrieb und saisonale Winter-PPR dauerhaft anzeigen. | Altstadt per Fahrrad, Taxi oder zu Fuß erreichbar. An schönen Tagen häufig Fallschirmsprungbetrieb; Dezember bis Februar PPR.",redaktionell geprüft,hoch,,nicht geprüft,,Fahrrad bestätigt: kostenlos am Platz.,https://www.edfr.de/piloten-besucher/,https://www.edfr.de/piloten-besucher/,"ARP, redaktionell erfasst – vor Publikation gegen AIP prüfen",INTERN: Airport-Hinweis der Zeile,2026-08-02
1.2,EDGE,EDGE,Eisenach / Wartburg,DE,Europe/Berlin,50.9917,10.475,1101,108,10/28,1720,55,Beton,Nein,1720,aktiv – Qualitätsliste,PPR außerhalb Betriebszeiten,offen,,Mietwagen direkt,,Aktuelle AIP/NOTAM und Betreiberinformation vor jedem Flug prüfen.,teilweise verifiziert,hoch,,bestätigt,"Angaben plausibel, Gastronomie ""Propeller"" im Gebäude bestätigt.","Flugplatzgaststätte ""Propeller"" im Gebäude, eigener Betreiber.",https://www.flugplatz-eisenach.de/,https://www.flugplatz-eisenach.de/flugbetrieb/,"ARP, redaktionell erfasst – vor Publikation gegen AIP prüfen",https://www.flugplatz-eisenach.de/de/flugplatzdaten/,2026-08-02
1.2,EDGS,EDGS,Siegerland,DE,Europe/Berlin,50.7077,8.083,1966,44,13/31,1620,30,Asphalt,Nein,1620,TechStop,Prüfen,Prüfen,,,,"Technisch stark, meteorologisch weniger robust als Tieflandplätze. | 1.966 ft Platzhöhe, Mittelgebirgswetter und Dichtehöhe",TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS 100LL | Ja – Super Plus | Toscana Stübchen,https://www.siegerland-airport.de/fuer-piloten/infos-fuer-piloten/,https://www.siegerland-airport.de/fuer-piloten/infos-fuer-piloten/,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://www.siegerland-airport.de/fuer-piloten/infos-fuer-piloten/,2026-08-03
