icao,target,region,file,status,image_rule
EKVJ,Hvide Sande / Ringkøbing,Nordsee/Ostsee,assets/regions/EKVJ.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
EKSS,Samsø,Nordsee/Ostsee,assets/regions/EKSS.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
EKRN,Bornholm,Nordsee/Ostsee,assets/regions/EKRN.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
EKSB,Sønderborg / Als,Nordsee/Ostsee,assets/regions/EKSB.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
EKAE,Ærø,Nordsee/Ostsee,assets/regions/EKAE.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
EDWL,Langeoog,Nordsee/Ostsee,assets/regions/EDWL.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
EHAL,Ameland,Nordsee/Ostsee,assets/regions/EHAL.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
EHTX,Texel,Nordsee/Ostsee,assets/regions/EHTX.jpg,approved,Nur freigegebenes Regionalbild; keine automatische Erfindung.
EHMZ,Midden-Zeeland / Veerse Meer,Nordsee/Ostsee,assets/regions/EHMZ.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LKKV,Karlovy Vary,Böhmen,assets/regions/LKKV.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LKCS,Třeboň / Český Krumlov,Böhmen,assets/regions/LKCS.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LFRF,Granville,Atlantik/Frankreich,assets/regions/LFRF.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LFGA,Colmar / Weinorte,Elsass/Vogesen,assets/regions/LFGA.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LOWS,Salzburg / Gastein,Nordalpen,assets/regions/LOWS.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LOIJ,St. Johann in Tirol,Nordalpen,assets/regions/LOIJ.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LSZR,Appenzell / Säntis / Bad Ragaz,Alpen/Schweiz,assets/regions/LSZR.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LOIH,Hohenems / Bregenzerwald,Nordalpen,assets/regions/LOIH.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LOWZ,Zell am See,Nordalpen,assets/regions/LOWZ.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LOWI,Innsbruck,Nordalpen,assets/regions/LOWI.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LJMB,Maribor / Pohorje,Steiermark/Slowenien,assets/regions/LJMB.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LIPB,Bozen / Meran / Ritten,Südalpen/Italien,assets/regions/LIPB.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LJBL,Bled / Radovljica,Julische Alpen,assets/regions/LJBL.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LSGS,Sion / Leukerbad,Alpen/Schweiz,assets/regions/LSGS.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LSZL,Locarno,Alpen/Schweiz,assets/regions/LSZL.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LIDT,Trento / Levico,Südalpen/Italien,assets/regions/LIDT.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LSZA,Lugano,Alpen/Schweiz,assets/regions/LSZA.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LFLP,Duingt / Lac d’Annecy,Alpenseen,assets/regions/LFLP.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LIMW,Aosta / Pila,Westalpen/Italien,assets/regions/LIMW.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LJPZ,Izola / Piran,Adria,assets/regions/LJPZ.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LDRI,Krk / Vrbnik / Šilo,Kvarner,assets/regions/LDRI.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
LDLO,Mali Lošinj,Kvarner,assets/regions/LDLO.jpg,missing,Nur freigegebenes Regionalbild; keine automatische Erfindung.
