schema_version,techstop_id,airport_id,techstop_rank,techstop_score,region,strategic_network_role,ppr_operational_notes,landing_fee_text,fee_rating,fee_note,payment_raw,pilot_feedback,experience_basis,risks_disadvantages,techstop_summary,source_airport,source_fee,source_fuel,source_gastro,data_checked_at,confidence
1.2,EDWF,EDWF,1,9.8,Nordwest,"Nordwest-Knoten für Niederlande, Nordsee und Norddeutschland",Außerhalb der veröffentlichten Betriebszeiten PPR,ca. 10 € brutto bis 1.000 kg mit erhöhtem Schallschutz,niedrig,Aktuelle Entgeltordnung und Lärmkategorie vor Flug prüfen.,Vor Ort; aktuelle Karten-/Barregel prüfen,sehr positiv,Eigene Nutzererfahrung plus Betreiber-/Pilotenrecherche,Keine relevanten systematischen Nachteile; Kraftstoffbestand und Tagesstatus prüfen,Herausragender Fuel-and-Food-Stop mit kurzen Wegen.,https://flugplatz-leer-papenburg.de/informationen/der-flugplatz-edwf-leer-papenburg/,https://flugplatz-leer-papenburg.de/fileadmin/user_upload/Landegebuehren-2025.pdf,https://flugplatz-leer-papenburg.de/aktuelles/,https://flugplatz-leer-papenburg.de/unsere-partner/flugplatz-restaurant-leer/,2026-08-03,hoch
1.2,EDWC,EDWC,2,9.7,Nordwest,"Knoten zwischen Ruhrgebiet, Nordseeküste, Hannover und Hamburg",Fallschirmsprungbetrieb beachten; außerhalb Zeiten PPR,ca. 9 € bis 1.200 kg; ggf. 5 € Zuschlag ohne erhöhten Schallschutz,sehr niedrig,Bei mindestens 100 l Betankung in einer Transaktion entfällt laut Betreiber die Landegebühr.,Vor Ort; Zahlungsweise prüfen,sehr positiv,Betreiber-/Pilotenrecherche; keine relevanten Negativmuster,700-m-Bahn und Fallschirmsprungbetrieb; Leistungsrechnung erforderlich,Einer der stärksten kompakten Tankstopps Deutschlands.,https://www.edwc.de/index.php/platzdaten,https://www.edwc.de/index.php/landegebuehren-ppr,https://www.edwc.de/index.php/landegebuehren-ppr,https://www.edwc.de/index.php/restaurant,2026-08-03,hoch
1.2,EDLS,EDLS,3,9.6,West/Nordwest,"Westlicher Nord-Süd-Knoten für Benelux, Ruhrgebiet und Norddeutschland","SUM 0700–SS/1900; WIN 0800–SS UTC; O/T PPR. OPS/PPR (02563) 3333. CUST O/R 24 HR für definierte Personenverkehre.",Laut aktueller Entgeltordnung; Betrag vor Flug prüfen,niedrig bis mittel,Keine Hinweise auf extreme Gebühren.,"Bar, EC- und Kreditkarten laut Betreiber",positiv,Betreiber-/Pilotenrecherche; gute Erfahrungen als unkomplizierter Stopp,Restaurant montags geschlossen; Einschränkungen nach AD 1–6 und Tagesstatus prüfen,"Sehr ausgewogener Tech-Stop mit 100LL und Super Plus/Mogas; Zoll O/R 24 HR.",https://www.flugplatz-stadtlohn.de/index.php?L=48&id=79,https://www.flugplatz-stadtlohn.de/index.php?id=51,https://www.flugplatz-stadtlohn.de/index.php?L=48&id=79,https://www.flugplatz-stadtlohn.de/index.php?L=48&id=79,2026-08-13,hoch
1.2,EDMV,EDMV,4,9.6,Südost,"Südost-Knoten für Ostbayern, Österreich und Tschechien",Betriebspflicht; außerhalb der Zeiten PPR nach Betreiberregel,"ca. 9,31 € brutto für 473–1.000 kg, Lärmkategorie A nach recherchierter Gebührentafel",niedrig,Aktuelle Gebührentafel und Lärmkategorie prüfen.,Vor Ort; Zahlungsarten vorab prüfen,sehr positiv,Öffentliche Pilotenberichte und Betreiberrecherche,Gastronomie Mo/Di geschlossen; genaue Kraftstoffsorte und Preis bestätigen,Strategisch stärkster ergänzender Tankstopp im äußersten Südosten.,https://www.edmv.de/,https://www.edmv.de/fileadmin/Dokumente/Gebuehrentafel_bis_6_t_Hallenmiete_2025.pdf,https://www.edmv.de/,https://www.flugplatzrestaurant-vilshofen.de/,2026-08-03,mittel bis hoch
1.2,EDAZ,EDAZ,5,9.5,Ost,Professioneller Berlin-/Ostdeutschland-Knoten,Regulärer Betrieb; veröffentlichte Verfahren und RMZ/IFR-Verkehr beachten,0 € bei reinem Tankstopp unter 2.000 kg und Aufenthalt bis 30 Minuten; sonst Entgeltordnung,sehr niedrig als Fuel Stop,Gebührenbefreiung gilt nur unter den veröffentlichten Bedingungen.,Vor Ort; Zahlungsmittel prüfen,sehr positiv,Professioneller Betreiber und positive öffentliche Pilotenerfahrungen,"Größerer, kontrollierterer Betrieb als Clubplatz; Verfahren beachten",Nahezu idealer professioneller Technikstopp.,https://www.flugplatz-schoenhagen.aero/piloten/verkehrslandeplatz/flugplatzdaten,https://www.flugplatz-schoenhagen.aero/piloten/verkehrslandeplatz/instrumentenanflugverfahren/entgelte,https://www.flugplatz-schoenhagen.aero/piloten/verkehrslandeplatz/instrumentenanflugverfahren/treibstoffpreise/seite,https://www.flugplatz-schoenhagen.aero/besucher/erholung/restaurant-cockpit,2026-08-03,hoch
1.2,EDWI,EDWI,6,9.4,Nordwest,Küsten- und Nordsee-Knoten mit Rotax-tauglicher Ottokraftstoffoption,Außerhalb Betriebszeit PPR; Platzinformationen prüfen,Laut Entgeltordnung ab 01.01.2025; Betrag vor Flug prüfen,niedrig bis mittel,Keine Hinweise auf extreme Abfertigungsgebühren.,"Bar, Karte, aerops oder Kundenkonto",positiv,Betreiber-/Pilotenrecherche; unkomplizierter GA-Eindruck,Restaurant montags geschlossen; genaue Pistenverfügbarkeit prüfen,"Sehr guter Nordwest-Stopp, besonders wegen alkoholfreiem Super Plus.",https://www.edwi.info/flugplatz/oeffnungszeiten.html,https://www.edwi.info/piloten/downloads.html,https://www.edwi.info/piloten/tankstelle.html,https://www.edwi.info/,2026-08-03,hoch
1.2,EDNL,EDNL,7,9.4,Südwest,"Allgäu-/Bodensee-Knoten für Südwest, Alpenrand und Österreich",Betriebszeit und eventuelles PPR prüfen,Laut Gebührenordnung; Betrag vor Flug prüfen,niedrig bis mittel,Keine wiederkehrenden Hinweise auf problematische Gebühren.,Vor Ort; Zahlungsmittel bestätigen,sehr positiv,Pilotenrecherche hebt Gastronomie und unkomplizierten Betrieb hervor,Platzhöhe und sommerliche Dichtehöhe; Öffnungszeiten saisonabhängig,Stärkster südwestlicher Fuel-and-Food-Stop.,https://www.ednl.de/,https://www.ednl.de/,https://www.ednl.de/,https://www.ednl.de/,2026-08-03,mittel bis hoch
1.2,EDVK,EDVK,8,9.3,Mitte,Zentraler Deutschland-Knoten für lange Nord-Süd- und Ost-West-Strecken,Professioneller Regionalflughafen; GAT-/Apron-Verfahren beachten,Laut Entgeltordnung Teil I/II ab 01.05.2026; Betrag vor Flug prüfen,mittel,Regionalflughafen mit etwas mehr Ablauf als kleiner Verkehrslandeplatz.,GAT/Handling,positiv bis gemischt,Professionell und strategisch stark; etwas Flughafen-Overhead,Längere Wege und formellerer Ablauf; Preis vorab prüfen,Technisch sehr zuverlässiger Mittelpunkt-Stopp.,https://www.kassel-airport.de/informationen-fuer-piloten/airport-informationen/,https://www.kassel-airport.de/informationen-fuer-piloten/airport-informationen/,https://www.kassel-airport.de/informationen-fuer-piloten/services/,https://www.kassel-airport.de/informationen-fuer-piloten/services/,2026-08-03,hoch
1.2,EDRK,EDRK,9,9.2,West/Mitte,"Westlicher Mittelachsen-Knoten zwischen Rhein-Main, Benelux und Südwest",Außerhalb PPR; lärmsensible Platzrunde exakt einhalten,Laut aktueller Entgeltregelung; Betrag vor Flug prüfen,niedrig bis mittel,Keine Hinweise auf extreme Gebühren.,Vor Ort; Zahlungsweise prüfen,positiv,Gute öffentliche Piloten- und Nutzererfahrungen,Strikte Lärmschutzverfahren und topografische Lage,Sehr guter westlicher Stopp mit vollwertigem Essen.,https://flugplatz-koblenz-winningen.de/index.php/de/general-aviation/flugplatzinfo,https://flugplatz-koblenz-winningen.de/index.php/de/general-aviation/entgeltregelung,https://flugplatz-koblenz-winningen.de/index.php/de/,https://flugplatz-koblenz-winningen.de/index.php/de/,2026-08-03,hoch
1.2,EDTD,EDTD,10,9.2,Südwest,"Schwarzwald-/Oberrhein-Knoten für Schweiz, Bodensee und Südwest",RMZ und veröffentlichte Verfahren; saisonale Zeiten prüfen,Laut Gebührenordnung; Betrag vor Flug prüfen,niedrig bis mittel,aerops-Zahlung verfügbar; aktuelle Entgeltordnung maßgeblich.,aerops bzw. Betreiberregel,positiv,Öffentliche Pilotendiskussionen nennen EDTD als guten Restaurant- und Tankstopp,Hohe Platzlage; RMZ und Winterwetter,Sehr wertvoller südwestlicher Netzbaustein.,https://donau-airport.de/piloteninformationen/,https://donau-airport.de/piloteninformationen/,https://donau-airport.de/piloteninformationen/,https://donau-airport.de/,2026-08-03,mittel bis hoch
